Sweep Results,,Sweep 001,Sweep 001,Sweep 001,Sweep 001,Sweep 001,Sweep 001,Sweep 001,Sweep 001,Sweep 001,Sweep 001,Sweep 001
Parameter,Valid QC,RecInac0,RecInac35,RecInac40,RecInac45,RecInac50,RecInac75,RecInac100,RecInac200,Compound Name,Seal Resistance,Capacitance
K05,T,-8.50E-11,-6.34E-11,-6.03E-11,-6.65E-11,-6.34E-11,-6.80E-11,-7.42E-11,-7.73E-11,NMDG60/2,8.27E+08,4.98E-12
L05,T,-1.46E-09,-5.66E-10,-6.12E-10,-6.76E-10,-7.22E-10,-9.14E-10,-1.06E-09,-1.29E-09,NMDG60/2,6.37E+08,9.25E-12
M05,T,-1.07E-10,-8.04E-11,-9.74E-11,-1.02E-10,-9.58E-11,-1.13E-10,-1.21E-10,-1.24E-10,NMDG60/2,2.26E+09,1.28E-11
N05,T,-4.65E-10,-2.21E-10,-2.43E-10,-2.72E-10,-2.86E-10,-3.23E-10,-3.63E-10,-4.20E-10,NMDG60/2,3.37E+09,9.95E-12
O05,F,-3.05E-10,-2.46E-10,-2.57E-10,-2.55E-10,-2.47E-10,-2.69E-10,-2.29E-10,-2.37E-10,NMDG60/2,1.20E+09,8.16E-12
P05,T,-8.49E-10,-9.27E-10,-9.29E-10,-9.43E-10,-8.92E-10,-7.82E-10,-6.74E-10,-5.89E-10,NMDG60/2,9.04E+07,1.46E-11
A06,T,-3.67E-09,-3.34E-09,-3.39E-09,-3.42E-09,-3.45E-09,-3.55E-09,-3.59E-09,-3.63E-09,NMDG60/2,1.45E+09,1.90E-11
B06,T,-4.07E-10,-1.59E-10,-1.70E-10,-1.90E-10,-2.01E-10,-2.33E-10,-2.64E-10,-3.31E-10,NMDG60/2,1.56E+09,1.00E-11
C06,T,-1.52E-09,-6.69E-10,-7.22E-10,-7.76E-10,-8.10E-10,-1.05E-09,-1.17E-09,-1.44E-09,NMDG60/2,2.53E+09,1.46E-11
D06,T,-7.98E-10,-4.10E-10,-4.42E-10,-4.56E-10,-5.16E-10,-5.66E-10,-6.32E-10,-7.17E-10,NMDG60/2,5.30E+09,1.48E-11
E06,T,-9.74E-11,-5.56E-11,-6.03E-11,-5.87E-11,-6.49E-11,-6.49E-11,-6.65E-11,-8.35E-11,NMDG60/2,5.00E+08,3.08E-12
F06,T,-1.72E-09,-8.86E-10,-9.26E-10,-1.02E-09,-1.08E-09,-1.32E-09,-1.43E-09,-1.60E-09,NMDG60/2,7.19E+09,1.66E-11
