Sweep Results,,Sweep 001,Sweep 001,Sweep 001,Sweep 001,Sweep 001,Sweep 001,Sweep 001,Sweep 001,Sweep 001,Sweep 001,Sweep 001
Parameter,Valid QC,RecInac0,RecInac35,RecInac40,RecInac45,RecInac50,RecInac75,RecInac100,RecInac200,Compound Name,Seal Resistance,Capacitance
E04,T,-2.630802E-9,-2.460674E-9,-2.485420E-9,-2.514806E-9,-2.514806E-9,-2.565844E-9,-2.564297E-9,-2.598323E-9,NMDG60/2,5.281205E+8,8.374150E-12
F04,T,-1.005304E-10,-8.815739E-11,-8.351753E-11,-8.506415E-11,-8.661077E-11,-9.279726E-11,-8.815739E-11,-9.434387E-11,NMDG60/2,8.805418E+8,NaN
G04,T,-5.727137E-9,-5.283257E-9,-5.343575E-9,-5.379147E-9,-5.439466E-9,-5.538449E-9,-5.589488E-9,-5.654446E-9,NMDG60/2,1.980533E+9,1.051871E-11
H04,T,-2.279719E-9,-2.132790E-9,-2.154443E-9,-2.197748E-9,-2.194655E-9,-2.234867E-9,-2.271986E-9,-2.281266E-9,NMDG60/2,3.852393E+9,6.630777E-12
I04,T,-2.055459E-9,-1.899251E-9,-1.908530E-9,-1.903890E-9,-1.930183E-9,-1.951836E-9,-1.964209E-9,-1.987408E-9,NMDG60/2,1.284805E+9,1.043448E-11
J04,T,-3.363900E-9,-2.876715E-9,-2.918474E-9,-2.967965E-9,-3.034470E-9,-3.153560E-9,-3.232438E-9,-3.297396E-9,NMDG60/2,8.508722E+8,1.574947E-11
K04,T,-1.082635E-11,-4.175876E-11,-3.711890E-11,-3.402566E-11,-3.402566E-11,-2.474593E-11,-2.474593E-11,-2.474593E-11,NMDG60/2,1.345438E+8,3.218562E-11
L04,T,-2.810210E-9,-2.609150E-9,-2.664828E-9,-2.664828E-9,-2.706587E-9,-2.748345E-9,-2.763812E-9,-2.791651E-9,NMDG60/2,6.407422E+8,8.275115E-12
M04,T,-3.486083E-9,-3.139640E-9,-3.161293E-9,-3.227798E-9,-3.227798E-9,-3.349981E-9,-3.385553E-9,-3.425765E-9,NMDG60/2,6.539203E+8,7.805145E-12
N04,T,-3.959350E-10,-9.743711E-11,-1.005304E-10,-1.190898E-10,-1.252763E-10,-1.515689E-10,-1.794080E-10,-2.598323E-10,NMDG60/2,3.170181E+8,2.815407E-12
O04,T,-9.171462E-10,-6.619538E-10,-6.789665E-10,-6.866997E-10,-7.021659E-10,-8.181625E-10,-8.707476E-10,-9.387989E-10,NMDG60/2,2.655946E+8,5.162152E-12
P04,T,-2.598323E-10,-1.361026E-10,-4.949187E-11,-4.330539E-11,3.402566E-11,-3.093242E-12,-4.021214E-11,-7.114456E-11,NMDG60/2,9.034824E+8,4.272729E-12
A05,T,-1.484756E-10,-1.376493E-10,-1.422891E-10,-1.314628E-10,-1.438357E-10,-1.453824E-10,-1.500222E-10,-1.361026E-10,NMDG60/2,7.889501E+8,1.629231E-11
B05,T,-5.227579E-10,-4.438802E-10,-4.330538E-10,-4.531599E-10,-4.284140E-10,-4.222275E-10,-4.763592E-10,-4.964653E-10,NMDG60/2,2.407127E+9,1.623671E-11
C05,T,-2.319931E-10,-2.242600E-10,-2.242600E-10,-2.227134E-10,-2.118871E-10,-2.103404E-10,-2.087938E-10,-2.134337E-10,NMDG60/2,3.190726E+8,1.210810E-11
D05,T,-8.197091E-11,-5.413173E-11,-5.722497E-11,-5.103849E-11,-5.567835E-11,-5.877159E-11,-5.722497E-11,-6.495808E-11,NMDG60/2,1.781876E+9,4.232800E-12
E05,T,-6.650470E-11,-5.258511E-11,-5.722497E-11,-4.330539E-11,-5.567835E-11,-5.877159E-11,-5.877159E-11,-7.114456E-11,NMDG60/2,5.398249E+8,6.121609E-12
F05,T,-8.815739E-11,-6.805132E-11,-6.495808E-11,-6.650470E-11,-7.578443E-11,-6.031822E-11,-6.805132E-11,-8.351753E-11,NMDG60/2,7.891933E+8,2.068634E-11
G05,T,1.701283E-11,1.082635E-11,1.237297E-11,7.733104E-12,1.237297E-11,1.391959E-11,4.639863E-12,9.279725E-12,NMDG60/2,1.898400E+9,1.131564E-11
H05,T,-2.938580E-10,-2.598323E-10,-2.644722E-10,-2.675654E-10,-2.582857E-10,-2.613789E-10,-2.799384E-10,-2.783918E-10,NMDG60/2,8.472685E+8,1.301651E-11
I05,T,-2.644722E-10,-2.428195E-10,-2.490060E-10,-2.397262E-10,-2.366330E-10,-2.443661E-10,-2.520992E-10,-2.474593E-10,NMDG60/2,4.176739E+9,1.513641E-11
J05,T,-1.252763E-10,-1.067168E-10,-1.129033E-10,-1.098101E-10,-9.589050E-11,-1.144499E-10,-1.237297E-10,-1.345560E-10,NMDG60/2,6.812767E+8,1.144088E-11
K05,T,-1.422891E-10,-1.422891E-10,-1.361026E-10,-1.407425E-10,-1.330094E-10,-1.484756E-10,-1.438357E-10,-1.469290E-10,NMDG60/2,1.974407E+8,3.746780E-12
L05,T,-5.707031E-10,-2.459127E-10,-2.258067E-10,-2.490060E-10,-2.675654E-10,-2.814850E-10,-2.783918E-10,-4.067613E-10,NMDG60/2,8.168524E+8,8.574173E-12
M05,T,-1.685817E-10,-1.252763E-10,-1.345560E-10,-1.330094E-10,-1.376493E-10,-1.361026E-10,-1.020770E-10,-1.175432E-10,NMDG60/2,4.895977E+8,8.480771E-12
N05,T,-1.453824E-10,-1.345560E-10,-1.268229E-10,-1.237297E-10,-1.252763E-10,-1.190898E-10,-1.129033E-10,-1.407425E-10,NMDG60/2,8.510503E+8,1.212687E-11
