Sweep Results,,Sweep 001,Sweep 001,Sweep 001,Sweep 001,Sweep 001,Sweep 001,Sweep 001,Sweep 001,Sweep 001,Sweep 001,Sweep 001
Parameter,Valid QC,RecInac0,RecInac8,RecInac9,RecInac10,RecInac15,RecInac20,RecInac25,RecInac30,Compound Name,Seal Resistance,Capacitance
A04,T,-4.081812E-9,-1.472611E-9,-1.622814E-9,-1.743596E-9,-2.318085E-9,-2.734628E-9,-2.976192E-9,-3.171301E-9,NMDG60/2,7.659564E+8,1.770318E-11
B04,T,-1.317762E-9,-1.625911E-10,-1.842700E-10,-1.827215E-10,-2.431125E-10,-3.081489E-10,-3.917672E-10,-4.722885E-10,NMDG60/2,5.944902E+8,1.208872E-11
C04,F,-1.982063E-10,-1.207820E-10,-1.068456E-10,-1.145880E-10,-1.362669E-10,-1.563972E-10,-1.517517E-10,-1.811730E-10,NMDG60/2,9.970836E+8,1.340459E-11
D04,F,-2.245306E-10,-1.641396E-10,-1.672366E-10,-1.625911E-10,-1.765275E-10,-1.935609E-10,-1.951094E-10,-2.013033E-10,NMDG60/2,1.742838E+8,NaN
E04,T,-1.486548E-10,-3.716369E-11,-4.026066E-11,-4.490612E-11,-5.264856E-11,-6.658495E-11,-6.193948E-11,-8.052133E-11,NMDG60/2,7.297711E+8,4.813180E-12
F04,T,-9.445771E-11,3.096974E-12,0.000000E+0,1.548487E-12,-1.548487E-12,-4.645461E-12,-6.193948E-12,-1.083941E-11,NMDG60/2,1.137589E+9,4.842350E-12
G04,T,8.206981E-11,-1.083941E-11,-1.548487E-12,3.096974E-12,2.632428E-11,3.716369E-11,4.335764E-11,4.645461E-11,NMDG60/2,1.565030E+8,1.954626E-11
H04,T,-4.800310E-11,-4.955159E-11,-6.039100E-11,-5.264856E-11,-4.026066E-11,-5.419705E-11,-4.026066E-11,-4.645461E-11,NMDG60/2,1.591939E+9,1.472339E-11
I04,T,-3.189883E-10,-3.716369E-11,-4.490612E-11,-3.871218E-11,-4.800310E-11,-7.432738E-11,-8.981225E-11,-1.192335E-10,NMDG60/2,5.409412E+8,9.617907E-12
J04,T,-3.096974E-12,-1.130395E-10,-1.192335E-10,-1.176850E-10,-1.037486E-10,-8.516679E-11,-7.897284E-11,-6.658495E-11,NMDG60/2,2.656253E+8,1.000000E-12
K04,T,3.561520E-11,-1.548487E-11,-2.167882E-11,-3.251823E-11,-7.742435E-12,-3.096974E-11,-1.083941E-11,-1.548487E-12,NMDG60/2,2.293450E+7,NaN
L04,T,-4.242854E-10,-6.503646E-11,-7.432738E-11,-6.968191E-11,-7.742435E-11,-1.037486E-10,-1.052971E-10,-1.347184E-10,NMDG60/2,7.393915E+8,4.470541E-12
M04,T,-2.195755E-9,-7.401768E-10,-8.330860E-10,-8.888316E-10,-1.207820E-9,-1.429253E-9,-1.570166E-9,-1.680108E-9,NMDG60/2,5.073386E+9,7.510929E-12
N04,T,-2.338215E-10,-2.477579E-11,-2.942125E-11,-2.787277E-11,-4.955159E-11,-5.729402E-11,-6.193948E-11,-7.432738E-11,NMDG60/2,1.531660E+9,1.474200E-11
O04,F,7.324344E-10,5.512614E-10,6.132009E-10,6.550100E-10,6.751403E-10,7.819860E-10,6.209433E-10,6.379767E-10,NMDG60/2,1.800938E+7,NaN
P04,F,3.096974E-11,2.322731E-11,2.787277E-11,2.942125E-11,2.942125E-11,3.406671E-11,3.561520E-11,3.251823E-11,NMDG60/2,NaN,NaN
A05,T,-2.028518E-10,-3.716369E-11,-4.180915E-11,-4.800310E-11,-5.110007E-11,-9.290922E-11,-9.136074E-11,-8.671527E-11,NMDG60/2,1.479874E+9,1.595671E-11
B05,T,-3.716369E-11,-2.632428E-11,-2.013033E-11,-1.548487E-11,-1.703336E-11,-1.703336E-11,-2.322731E-11,-2.787277E-11,NMDG60/2,8.384252E+8,7.921961E-12
C05,T,-2.198852E-10,-3.251823E-11,-3.871218E-11,-3.871218E-11,-6.503646E-11,-7.587586E-11,-8.981225E-11,-1.269759E-10,NMDG60/2,1.241209E+9,7.150431E-12
D05,T,-4.800310E-11,-3.406671E-11,-2.787277E-11,-2.787277E-11,-2.787277E-11,-3.716369E-11,-3.251823E-11,-3.561520E-11,NMDG60/2,1.577353E+9,6.787471E-12
E05,T,-6.472676E-10,-9.600620E-11,-9.445771E-11,-1.037486E-10,-1.440093E-10,-1.796245E-10,-2.400155E-10,-2.632428E-10,NMDG60/2,2.033623E+9,1.443055E-11
F05,T,-2.942125E-11,-5.264856E-11,-5.264856E-11,-6.039100E-11,-5.729402E-11,-4.335764E-11,-4.180915E-11,-3.561520E-11,NMDG60/2,1.636686E+8,2.396875E-12
G05,T,-1.313117E-9,-2.446610E-10,-2.431125E-10,-2.585973E-10,-3.793793E-10,-4.738370E-10,-5.156462E-10,-5.682947E-10,NMDG60/2,1.263453E+10,1.107718E-11
H05,T,-4.041551E-10,-6.968191E-11,-6.658495E-11,-8.361830E-11,-1.130395E-10,-1.672366E-10,-1.827215E-10,-2.121427E-10,NMDG60/2,5.105278E+9,1.792426E-11
I05,T,-1.548487E-12,-2.942125E-11,-2.477579E-11,-3.251823E-11,-1.548487E-11,-2.167882E-11,1.548487E-12,-7.742435E-12,NMDG60/2,1.727340E+8,NaN
J05,T,3.716369E-11,1.083941E-11,4.645461E-12,-1.083941E-11,1.703336E-11,1.238790E-11,2.013033E-11,2.013033E-11,NMDG60/2,3.447677E+8,4.383277E-12
K05,T,-8.981225E-11,-1.099426E-10,-1.099426E-10,-1.130395E-10,-1.052971E-10,-1.052971E-10,-1.037486E-10,-1.083941E-10,NMDG60/2,2.989134E+8,NaN
L05,T,-5.884251E-11,-7.277889E-11,-6.503646E-11,-7.897284E-11,-6.813343E-11,-7.897284E-11,-5.884251E-11,-7.123040E-11,NMDG60/2,9.397728E+8,3.958160E-12
M05,T,-4.506097E-10,-1.796245E-10,-2.044003E-10,-1.920124E-10,-2.508549E-10,-2.957610E-10,-3.081489E-10,-4.118975E-10,NMDG60/2,7.184064E+8,2.071381E-11
N05,T,-8.981225E-11,-4.335764E-11,-3.871218E-11,-5.264856E-11,-4.645461E-11,-4.955159E-11,-4.335764E-11,-3.716369E-11,NMDG60/2,1.637057E+9,1.455778E-11
O05,F,-4.800310E-11,-6.813343E-11,-7.587586E-11,-6.658495E-11,-7.123040E-11,-7.742435E-11,-8.981225E-11,-9.755469E-11,NMDG60/2,3.791382E+8,1.018187E-11
P05,F,-1.563972E-10,-1.858184E-10,-1.796245E-10,-1.734305E-10,-1.114911E-10,-1.223305E-10,-1.254274E-10,-1.254274E-10,NMDG60/2,1.043117E+8,1.775700E-11
A06,T,-4.273824E-10,-1.687851E-10,-1.641396E-10,-2.028518E-10,-2.493064E-10,-2.601458E-10,-3.127944E-10,-3.267308E-10,NMDG60/2,8.136356E+8,1.482407E-11
B06,T,-5.512614E-10,-6.658495E-11,-7.277889E-11,-1.022001E-10,-1.207820E-10,-1.471063E-10,-1.904639E-10,-2.291761E-10,NMDG60/2,7.932369E+8,1.512205E-11
C06,T,-1.455578E-10,3.096974E-12,0.000000E+0,-1.548487E-12,-1.393638E-11,-1.393638E-11,-2.477579E-11,-3.251823E-11,NMDG60/2,7.272808E+8,2.650301E-12
D06,T,-7.742435E-11,-9.755469E-11,-1.022001E-10,-8.826376E-11,-9.755469E-11,-9.755469E-11,-9.445771E-11,-9.290922E-11,NMDG60/2,3.167107E+8,NaN
E06,F,-4.475127E-10,-2.524034E-10,-2.864701E-10,-3.019550E-10,-3.809278E-10,-4.149945E-10,-4.242854E-10,-4.552552E-10,NMDG60/2,1.034433E+9,1.807254E-11
F06,F,-1.238790E-11,-2.013033E-11,6.193948E-12,2.167882E-11,4.180915E-11,4.645461E-11,5.729402E-11,5.729402E-11,NMDG60/2,2.014535E+8,5.044235E-12
G06,T,-1.471063E-10,-2.632428E-11,-3.096974E-11,-4.645461E-11,-4.800310E-11,-4.026066E-11,-4.645461E-11,-6.503646E-11,NMDG60/2,2.645185E+8,9.845921E-12
H06,T,3.406671E-11,7.897284E-11,8.206981E-11,7.587586E-11,8.671527E-11,8.826376E-11,8.361830E-11,-1.548487E-12,NMDG60/2,4.802190E+8,8.270292E-12
I06,T,-7.587586E-11,-5.110007E-11,-5.264856E-11,-6.348796E-11,-5.884251E-11,-6.658495E-11,-4.800310E-11,-4.645461E-11,NMDG60/2,4.503893E+8,7.937613E-12
J06,T,-7.804375E-10,-2.353700E-10,-2.942125E-10,-3.066004E-10,-4.165430E-10,-5.249371E-10,-5.729402E-10,-6.070069E-10,NMDG60/2,6.231066E+8,1.741077E-11
K06,T,-1.780760E-10,-8.361830E-11,-6.658495E-11,-6.503646E-11,-6.813343E-11,-7.123040E-11,-7.897284E-11,-9.910317E-11,NMDG60/2,6.982252E+8,1.170592E-11
L06,T,-1.457126E-9,-5.992645E-10,-5.837796E-10,-6.612040E-10,-8.253436E-10,-9.554165E-10,-1.003420E-9,-1.057617E-9,NMDG60/2,1.005737E+9,1.470718E-11
M06,T,-2.013033E-10,-2.013033E-11,-1.083941E-11,-4.490612E-11,-1.858184E-11,-4.180915E-11,-6.039100E-11,-9.290922E-12,NMDG60/2,4.164221E+8,1.250774E-11
N06,T,-1.331699E-10,-4.645461E-11,-4.335764E-11,-6.039100E-11,-4.955159E-11,-5.884251E-11,-6.193948E-11,-5.419705E-11,NMDG60/2,7.930738E+8,7.424136E-12
O06,F,-1.548487E-11,-4.955159E-11,-3.871218E-11,-6.968191E-11,-5.574553E-11,-6.658495E-11,-5.110007E-11,-5.574553E-11,NMDG60/2,5.629749E+8,1.341773E-11
