Sweep Results,,Sweep 001,Sweep 001,Sweep 001,Sweep 001,Sweep 001,Sweep 001,Sweep 001,Sweep 001,Sweep 001,Sweep 001,Sweep 001
Parameter,Valid QC,RecInac0,RecInac35,RecInac40,RecInac45,RecInac50,RecInac75,RecInac100,RecInac200,Compound Name,Seal Resistance,Capacitance
H03,T,-1.391200E-11,-3.709867E-11,-3.709867E-11,-2.473245E-11,-2.473245E-11,-3.246134E-11,-2.009511E-11,-2.473245E-11,NMDG60/2,1.474409E+8,NaN
I03,T,-1.337098E-9,-7.852552E-10,-8.501779E-10,-9.027344E-10,-9.521993E-10,-1.080499E-9,-1.150059E-9,-1.272175E-9,NMDG60/2,1.065634E+9,7.268144E-12
J03,T,-2.292389E-9,-1.613792E-9,-1.680261E-9,-1.759095E-9,-1.836384E-9,-2.012603E-9,-2.083709E-9,-2.185730E-9,NMDG60/2,1.514691E+9,1.521571E-11
K03,T,-3.570747E-9,-2.810224E-9,-2.896788E-9,-2.997264E-9,-3.029725E-9,-3.264683E-9,-3.354338E-9,-3.505825E-9,NMDG60/2,8.556698E+9,2.659957E-11
L03,F,5.564801E-11,1.298454E-10,1.592151E-10,3.771699E-10,1.143876E-10,1.282996E-10,1.468489E-10,1.437574E-10,NMDG60/2,4.009647E+8,1.168757E-11
M03,T,-6.631388E-10,-4.513672E-10,-4.668250E-10,-4.915574E-10,-4.760997E-10,-5.812125E-10,-6.028534E-10,-6.430437E-10,NMDG60/2,5.001050E+8,2.566370E-12
N03,F,-5.006775E-9,-5.009867E-9,-5.011413E-9,-5.008321E-9,-5.009867E-9,-5.011413E-9,-5.009867E-9,-5.009867E-9,NMDG60/2,5.880516E+6,NaN
O03,T,3.014267E-10,2.689654E-10,2.674196E-10,2.844232E-10,2.782400E-10,2.828774E-10,2.828774E-10,2.967894E-10,NMDG60/2,9.449630E+7,8.888764E-11
P03,T,-2.219737E-9,-1.616884E-9,-1.670986E-9,-1.785374E-9,-1.794648E-9,-1.967775E-9,-2.049702E-9,-2.120808E-9,NMDG60/2,5.291724E+8,1.530043E-11
A04,T,-2.510343E-9,-1.069678E-9,-1.368014E-9,-1.446848E-9,-1.541141E-9,-1.820927E-9,-2.023423E-9,-2.304755E-9,NMDG60/2,1.327542E+9,1.255414E-11
B04,T,-1.700356E-11,-3.400712E-11,-3.555289E-11,-2.318667E-11,-4.637334E-11,-2.009511E-11,0.000000E+0,4.637334E-12,NMDG60/2,1.308572E+8,8.919914E-12
C04,T,-7.404277E-10,-3.941734E-10,-4.173601E-10,-4.297263E-10,-4.621876E-10,-5.487512E-10,-6.059450E-10,-6.878712E-10,NMDG60/2,2.210790E+10,1.416957E-11
D04,T,-1.623067E-9,-5.642090E-10,-6.384063E-10,-6.755050E-10,-7.156952E-10,-9.197380E-10,-1.061950E-9,-1.337098E-9,NMDG60/2,1.542774E+9,1.038829E-11
E04,T,-2.632460E-9,-1.094411E-9,-1.202615E-9,-1.351010E-9,-1.375742E-9,-1.718905E-9,-1.947680E-9,-2.348037E-9,NMDG60/2,2.056341E+9,9.255341E-12
F04,T,-1.190249E-10,-1.700356E-11,-3.709867E-11,-3.555289E-11,-3.091556E-11,-6.028535E-11,-6.028535E-11,-8.192624E-11,NMDG60/2,3.311244E+8,5.446562E-12
G04,T,-9.274668E-12,-1.545778E-11,-1.391200E-11,-9.274668E-12,-9.274668E-12,-1.236622E-11,-6.183112E-12,-1.082045E-11,NMDG60/2,1.444590E+8,1.493173E-11
H04,T,-2.224375E-9,-1.551961E-9,-1.633887E-9,-1.692627E-9,-1.734363E-9,-1.926040E-9,-2.011057E-9,-2.156360E-9,NMDG60/2,3.918180E+9,1.826661E-11
I04,T,-1.768370E-9,-8.038046E-10,-8.764561E-10,-9.630198E-10,-9.846606E-10,-1.211890E-9,-1.361830E-9,-1.612246E-9,NMDG60/2,1.504384E+10,1.826213E-11
J04,T,-9.197380E-10,-5.549343E-10,-6.244943E-10,-6.507725E-10,-6.384063E-10,-7.419735E-10,-8.439948E-10,-8.872766E-10,NMDG60/2,1.690572E+9,7.354060E-12
K04,T,-2.287752E-9,-1.077407E-9,-1.109869E-9,-1.180974E-9,-1.265992E-9,-1.514862E-9,-1.647799E-9,-2.024969E-9,NMDG60/2,7.688252E+8,1.177017E-11
