Sweep Results,,Sweep 001,Sweep 001,Sweep 001,Sweep 001,Sweep 001,Sweep 001,Sweep 001,Sweep 001,Sweep 001,Sweep 001,Sweep 001
Parameter,Valid QC,RecInac0,RecInac8,RecInac9,RecInac10,RecInac15,RecInac20,RecInac25,RecInac30,Compound Name,Seal Resistance,Capacitance
P03,T,-4.490195E-11,-2.322515E-11,-3.406355E-11,-3.716024E-11,-3.406355E-11,-3.096686E-11,-3.561190E-11,-2.941852E-11,NMDG60/2,9.606321E+8,3.668532E-12
A04,T,-7.308180E-10,-1.408992E-10,-1.656727E-10,-1.888979E-10,-2.771534E-10,-3.561189E-10,-3.870858E-10,-3.901825E-10,NMDG60/2,1.027177E+9,6.704674E-12
B04,T,-1.587052E-9,-2.167681E-10,-2.554766E-10,-2.787018E-10,-4.226977E-10,-5.357268E-10,-6.410141E-10,-7.044962E-10,NMDG60/2,5.352539E+8,1.372561E-11
C04,F,-5.109533E-11,-4.490195E-11,-4.645030E-11,-3.561190E-11,-4.025693E-11,-4.490195E-11,-4.645030E-11,-4.180527E-11,NMDG60/2,8.837721E+8,2.499554E-12
D04,F,-1.641244E-9,-7.137863E-10,-8.608789E-10,-9.057808E-10,-1.162806E-9,-1.286673E-9,-1.371832E-9,-1.441508E-9,NMDG60/2,8.159810E+8,6.430522E-12
E04,T,-5.465652E-10,-1.393509E-10,-1.455443E-10,-1.579310E-10,-2.322515E-10,-2.585733E-10,-3.205071E-10,-3.793441E-10,NMDG60/2,7.434399E+8,1.959432E-11
F04,T,2.632184E-11,4.954698E-11,4.954698E-11,5.264367E-11,5.883705E-11,5.109533E-11,5.574036E-11,4.799864E-11,NMDG60/2,3.838628E+8,3.112278E-12
G04,T,2.632184E-11,-1.083840E-11,-6.193373E-12,-7.741716E-12,-4.645030E-12,3.096687E-12,-3.096687E-12,7.741716E-12,NMDG60/2,1.377977E+8,1.367984E-11
H04,T,3.251521E-11,-3.251521E-11,-2.477349E-11,-2.632184E-11,-9.290060E-12,-1.238675E-11,9.290060E-12,9.290060E-12,NMDG60/2,2.585131E+8,9.320620E-12
I04,T,-4.645030E-11,-7.586882E-11,-6.967545E-11,-6.657876E-11,-7.896551E-11,-7.122379E-11,-7.122379E-11,-6.967545E-11,NMDG60/2,2.233001E+8,4.323199E-12
J04,T,-2.206389E-9,-4.598580E-10,-5.574036E-10,-5.976605E-10,-8.515888E-10,-1.063712E-9,-1.278932E-9,-1.382671E-9,NMDG60/2,4.295739E+8,1.084726E-11
K04,T,-3.284036E-9,-1.147322E-9,-1.226288E-9,-1.388864E-9,-1.840980E-9,-2.111940E-9,-2.361223E-9,-2.548573E-9,NMDG60/2,4.283001E+8,1.305734E-11
